序号,标的名称,标的代码,交易日期,成交价 (元),成交量 (股),成交金额 (元),税费 (元),单笔回收合计 (元),交易类型,备注
1,标普 500ETF,513500,2026-05-12,2.486,100,248.60,0.00,248.60,股票卖出,清仓
2,标普 500ETF,513500,2026-05-12,2.483,4900,12166.70,10.00,12156.70,股票卖出,清仓
3,三峡能源,600905,2026-03-04,4.190,2000,8380.00,2.27,8377.73,股票卖出,清仓
4,中国海油,600938,2026-03-04,44.500,700,31150.00,0.00,31150.00,股票卖出,部分清仓
5,中国海油,600938,2026-03-11,40.970,800,32776.00,140.89,32635.11,股票卖出,全部清仓
6,光大银行,601818,2026-03-26,3.310,10000,33100.00,24.67,33075.33,股票卖出,清仓
7,农业银行,601288,2026-04-01,6.760,17000,114920.00,85.66,114834.34,股票卖出,清仓
8,京沪高铁,601816,2026-05-12,5.140,124000,637360.00,475.08,636884.92,股票卖出,全部清仓
9,光大银行,601818,2026-06-12,3.220,23600,75992.00,56.65,75935.35,股票卖出,清仓
10,长江电力,600900,2026-06-12,28.270,1000,28270.00,211.07,28058.93,股票卖出,清仓
