序号,标的名称,标的代码,交易日期,成交价 (元),成交量 (股),成交金额 (元),税费 (元),单笔投入合计 (元),单笔回收合计 (元),交易类型,备注
1,标普 500ETF,513500,2026-01-12,2.456,5000,12280.00,5.00,12285.00,,股票买入,建仓
2,三峡能源,600905,2025-04-17,4.300,1000,4300.00,0.00,4300.00,,股票买入,首次建仓
3,三峡能源,600905,2026-01-29,4.110,1000,4110.00,0.00,4110.00,,股票买入,加仓
4,三峡能源,600905,2025-08-18,0.000,0,67.00,0.00,67.00,,红股派息,现金分红
5,中国海油,600938,2025-04-28,25.270,500,12635.00,0.00,12635.00,,股票买入,首次建仓
6,中国海油,600938,2025-04-30,25.080,500,12540.00,0.00,12540.00,,股票买入,加仓
7,中国海油,600938,2025-05-08,24.980,500,12490.00,0.00,12490.00,,股票买入,加仓
8,中国海油,600938,2025-07-10,0.000,0,907.59,0.00,907.59,,红股派息,现金分红
9,中国海油,600938,2025-10-16,0.000,0,999.18,0.00,999.18,,红股派息,现金分红
10,光大银行,601818,2026-03-23,3.170,10000,31700.00,7.78,31707.78,,股票买入,建仓
11,农业银行,601288,2026-03-26,6.530,17000,111010.00,27.26,111037.26,,股票买入,建仓
12,京沪高铁,601816,2026-03-05,5.000,7100,35500.00,0.00,35500.00,,股票买入,首次建仓
13,京沪高铁,601816,2026-03-05,5.000,10600,53000.00,0.00,53000.00,,股票买入,加仓
14,京沪高铁,601816,2026-03-23,4.900,10000,49000.00,0.00,49000.00,,股票买入,加仓
15,京沪高铁,601816,2026-04-10,4.960,10000,49600.00,0.00,49600.00,,股票买入,加仓
16,京沪高铁,601816,2026-04-10,4.970,19900,98903.00,0.00,98903.00,,股票买入,加仓
17,京沪高铁,601816,2026-04-13,4.920,20400,100368.00,0.00,100368.00,,股票买入,加仓
18,京沪高铁,601816,2026-04-24,4.900,17300,84770.00,0.00,84770.00,,股票买入,加仓
19,京沪高铁,601816,2026-04-24,4.910,17200,84452.00,0.00,84452.00,,股票买入,加仓
20,京沪高铁,601816,2026-04-27,4.900,11500,56350.00,0.00,56350.00,,股票买入,加仓
21,光大银行,601818,2026-04-02,3.190,23600,75284.00,18.47,75302.47,,股票买入,建仓
22,长江电力,600900,2026-01-27,26.000,1000,26000.00,0.00,26000.00,,股票买入,建仓
23,长江电力,600900,2026-02-11,0.000,0,210.00,0.00,210.00,,红股派息,现金分红
24,贵州茅台,600519,2026-05-13,1340.200,100,134020.00,0.00,134020.00,,股票买入,首次建仓
25,贵州茅台,600519,2026-05-14,1337.000,100,133700.00,0.00,133700.00,,股票买入,加仓
26,万科 A,000002,2023-10-11,12.800,500,6400.00,5.00,6405.00,,股票买入,建仓
27,民生银行,600016,2026-04-02,3.760,30300,113928.00,27.96,113955.96,,股票买入,建仓
28,浦发银行,600000,2026-04-21,9.720,11600,112752.00,27.68,112779.68,,股票买入,建仓
1,标普 500ETF,513500,2026-05-12,2.486,100,248.60,0.00,,248.60,股票卖出,清仓
2,标普 500ETF,513500,2026-05-12,2.483,4900,12166.70,10.00,,12156.70,股票卖出,清仓
3,三峡能源,600905,2026-03-04,4.190,2000,8380.00,2.27,,8377.73,股票卖出,清仓
4,中国海油,600938,2026-03-04,44.500,700,31150.00,0.00,,31150.00,股票卖出,部分清仓
5,中国海油,600938,2026-03-11,40.970,800,32776.00,140.89,,32635.11,股票卖出,全部清仓
6,光大银行,601818,2026-03-26,3.310,10000,33100.00,24.67,,33075.33,股票卖出,清仓
7,农业银行,601288,2026-04-01,6.760,17000,114920.00,85.66,,114834.34,股票卖出,清仓
8,京沪高铁,601816,2026-05-12,5.140,124000,637360.00,475.08,,636884.92,股票卖出,全部清仓
9,光大银行,601818,2026-06-12,3.220,23600,75992.00,56.65,,75935.35,股票卖出,清仓
10,长江电力,600900,2026-06-12,28.270,1000,28270.00,211.07,,28058.93,股票卖出,清仓
